Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Vibration Levels,Operational Hours,Failure Type
2,0.00391105604375741,0.06840061373523151,0.0543045385197126,0.298929620789272,42.0,20.0,No Failure
1,0.18168633076322785,0.35823372278287574,-0.6848491839549532,0.6575795840288353,52.0,21.0,No Failure
1,0.00391105604375741,-0.22143249531257747,-0.21964754043942925,0.9752409800410201,44.0,18.0,No Failure
1,0.18168633076322785,0.06840061373523151,-0.5556265052006409,-0.039226058836601706,52.0,10.0,No Failure
1,0.18168633076322785,0.35823372278287574,-0.6848491839549532,0.012009650197621628,44.0,10.0,No Failure
2,0.00391105604375741,0.06840061373523151,-0.5969777624020208,0.20670534452767014,35.0,24.0,No Failure
1,0.00391105604375741,0.06840061373523151,0.09048688857092001,0.25794105356189345,36.0,20.0,No Failure
1,0.00391105604375741,0.06840061373523151,-0.06974923308442711,0.03250393381131125,33.0,14.0,No Failure
2,0.3594616054827993,0.35823372278287574,0.6538977679397212,-1.15616451578267,23.0,22.0,No Failure
2,0.7150121549218412,1.2277330499261379,1.0363968970524853,-1.2176473666237382,45.0,22.0,No Failure
0,0.5372368802022698,0.937899940878329,1.2483220902095573,-1.6377801807043697,55.0,19.73,No Failure
0,0.8927874296414128,1.5175661589739469,-0.6073155767023658,0.45263674789194197,45.0,20.03,No Failure
2,0.8927874296414128,1.5175661589739469,-1.0415037773168547,1.1494423907573796,34.0,20.33,No Failure
2,0.8927874296414128,1.8073992680215911,1.0415658042026577,-1.012704530486845,34.0,20.62,No Failure
1,0.8927874296414128,1.8073992680215911,2.5560555992031966,-2.07840727839869,23.0,20.92,No Failure
1,0.8927874296414128,1.8073992680215911,0.007784374168160208,0.8727695619725734,42.0,21.22,No Failure
2,0.8927874296414128,1.8073992680215911,-1.1862331775216846,0.6883210094493697,54.0,21.52,No Failure
2,1.0705627043608832,1.8073992680215911,-0.6745113696546082,0.5858495913809231,55.0,21.81,No Failure
0,1.2483379790804547,1.8073992680215911,-1.2120777132725469,1.4978452121900983,54.0,22.11,No Failure
2,1.426113253799925,2.0972323770694,0.4729860176836841,-0.7565259853157283,34.0,22.41,No Failure
0,1.426113253799925,2.0972323770694,-0.8554231199106452,0.2886824789824279,33.0,22.7,No Failure
1,1.2483379790804547,2.0972323770694,-0.4677550836477087,0.5038724569261653,23.0,23.0,No Failure
2,1.426113253799925,2.0972323770694,0.20937175302488722,-0.9409745378389324,24.0,23.3,No Failure
1,1.6038885285194966,2.3870654861170446,1.1242683186054176,-1.4533316281811657,36.0,23.59,No Failure
2,1.6038885285194966,2.3870654861170446,0.10599361002143748,-0.26466317858718463,34.0,23.89,No Failure
1,1.6038885285194966,2.6768985951648534,1.6566657550731838,-1.6992630315454376,35.0,24.19,No Failure
1,1.7816638032390681,2.6768985951648534,-0.14728284033701441,-0.09046176787082504,36.0,24.48,No Failure
0,1.7816638032390681,2.3870654861170446,1.3982203975645595,-1.5660501880564568,37.0,24.78,No Failure
1,1.7816638032390681,2.3870654861170446,-0.524613062299606,0.44238960608509786,38.0,25.08,No Failure
1,1.6038885285194966,2.3870654861170446,0.7882893538442058,-1.0024573886800001,39.0,25.38,No Failure
2,1.7816638032390681,2.6768985951648534,-1.0415037773168547,0.8522752783588845,40.0,25.67,No Failure
1,1.6038885285194966,2.3870654861170446,1.331024604612317,-1.473825911794855,34.56129032,25.97,No Failure
1,1.6038885285194966,2.3870654861170446,-0.6279912053030557,0.8625224201657286,34.27983871,26.27,No Failure
1,1.426113253799925,2.0972323770694,0.6435599536393762,-0.7565259853157283,33.9983871,26.56,No Failure
2,1.2483379790804547,1.5175661589739469,0.09565579572109251,-0.5310888655651453,33.71693548,26.86,No Failure
2,1.2483379790804547,1.8073992680215911,-0.4574172693473637,0.893263845586263,33.43548387,27.16,No Failure
2,1.426113253799925,1.8073992680215911,0.20937175302488722,-0.32614602942825205,33.15403226,27.45,No Failure
1,1.2483379790804547,1.5175661589739469,-0.524613062299606,-0.0699674842571354,32.87258065,27.75,No Failure
0,1.426113253799925,1.8073992680215911,-0.8347474913099553,1.1084538235300012,32.59112903,28.05,No Failure
1,1.2483379790804547,1.5175661589739469,-0.9846457986649575,1.2929023760532048,32.30967742,28.35,No Failure
1,1.2483379790804547,1.5175661589739469,-0.9226189128628876,0.5653553077672334,32.02822581,28.64,No Failure
1,1.2483379790804547,1.5175661589739469,-0.8916054699618526,1.1187009653368452,31.74677419,28.94,No Failure
2,1.2483379790804547,1.5175661589739469,-0.8916054699618526,0.9444995546204864,31.46532258,29.24,No Failure
0,1.2483379790804547,1.8073992680215911,-0.8709298413611627,0.8830167037794182,31.18387097,29.53,No Failure
2,1.2483379790804547,1.5175661589739469,-0.35403912634391393,0.7805452857109716,30.90241935,29.83,No Failure
1,1.2483379790804547,1.5175661589739469,-0.2661677047909816,0.9444995546204864,30.62096774,30.13,No Failure
2,1.0705627043608832,1.2277330499261379,1.563625426370079,-1.4430844863743209,30.33951613,30.42,No Failure
1,1.2483379790804547,1.5175661589739469,-0.6331601124532282,0.6575795840288353,30.05806452,30.72,No Failure
0,1.2483379790804547,1.8073992680215911,-0.5969777624020208,1.43636236134903,29.7766129,31.02,No Failure
2,1.426113253799925,1.8073992680215911,-0.6641735553542631,0.4321424642782531,29.49516129,31.32,No Failure
1,1.426113253799925,1.5175661589739469,6.8255729052456715,-3.61547854942539,29.21370968,48.0,Power Failure
1,1.426113253799925,1.5175661589739469,-0.8140718627092653,1.5388337794174767,28.93225806,24.0,No Failure
0,1.2483379790804547,1.2277330499261379,-0.22481644758960173,0.40140103885771866,28.65080645,20.0,No Failure
1,1.0705627043608832,1.2277330499261379,0.12666923862212742,-0.49010029833776686,28.36935484,22.0,No Failure
1,1.0705627043608832,1.2277330499261379,0.7779515395438609,-1.0024573886800001,28.08790323,14.0,No Failure
1,1.2483379790804547,1.5175661589739469,-0.14728284033701441,0.08373964284553458,27.80645161,15.0,No Failure
1,1.2483379790804547,1.5175661589739469,-0.3281945905930515,0.25794105356189345,27.525,58.0,No Failure
1,1.2483379790804547,1.5175661589739469,-0.14211393318684193,0.04275107561815533,27.24354839,22.0,No Failure
2,1.2483379790804547,1.2277330499261379,0.6228843250386863,-1.0639402395210682,26.96209677,36.0,No Failure
1,1.2483379790804547,1.5175661589739469,-0.8399163984601278,1.4875980703832534,26.68064516,14.0,No Failure
1,1.2483379790804547,1.5175661589739469,-0.7623827912075405,1.3031495178600496,26.39919355,21.0,No Failure
2,1.2483379790804547,1.2277330499261379,0.2662297316767846,-0.17243890232558207,26.11774194,26.87,No Failure
1,1.2483379790804547,1.2277330499261379,1.4912607262676643,-1.7402515987728164,25.83629032,27.28,No Failure
2,1.426113253799925,1.2277330499261379,1.4033893047147319,-1.4328373445674765,25.55483871,27.69,No Failure
1,1.6038885285194966,1.5175661589739469,-0.09042486168511706,-0.13145033509820356,25.2733871,28.1,No Failure
1,1.6038885285194966,1.5175661589739469,-0.757213884057368,0.5346138823466997,24.99193548,28.52,No Failure
2,1.426113253799925,0.937899940878329,0.715924653741791,-1.1459173739758257,24.71048387,28.93,No Failure
0,1.2483379790804547,0.937899940878329,-0.38505256924494885,0.4321424642782531,24.42903226,29.34,No Failure
1,1.2483379790804547,0.937899940878329,-0.06974923308442711,-0.7667731271225732,24.14758065,29.75,No Failure
1,1.426113253799925,1.2277330499261379,-0.6745113696546082,2.6455250945567013,42.0,47.0,Power Failure
2,1.426113253799925,1.2277330499261379,1.9823069055340505,-1.77099302419335,52.0,30.58,No Failure
1,1.426113253799925,1.5175661589739469,-0.4574172693473637,0.5756024495740782,44.0,30.99,No Failure
1,1.426113253799925,1.5175661589739469,-0.8864365628116802,0.4628838896987868,52.0,31.4,No Failure
